Member Name,Job Title
Jeffrey P. Bezos,"Executive Chairman of the Board, Founder"
Andrew R. Jassy,"President, Chief Executive Officer, Director"
Brian T. Olsavsky,"Chief Financial Officer, Senior Vice President"
David H. Clark,Chief Executive Office - Worldwide Consumer
Adam Selipsky,Chief Executive Officer - Amazon Web Services
David A. Zapolsky,"Senior Vice President, General Counsel, Secretary"
Shelley L. Reynolds,"Vice President, Worldwide Controller, Principal Accounting Officer"
Keith Brian Alexander,Independent Director
Edith W. Cooper,Independent Director
Jamie S. Gorelick,Independent Director
Daniel P. Huttenlocher,Independent Director
Judith A. Mcgrath,Independent Director
Indra Nooyi,Independent Director
Jonathan J. Rubinstein,Independent Director
Patricia Q. Stonesifer,Independent Director
Wendell P. Weeks,Independent Director
